Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-07-08,Snowpiercer,2013,https://boxd.it/KPYVx,3.5,,,2019-07-07
2019-07-09,Spider-Man: Far from Home,2019,https://boxd.it/KVSVN,3.5,,,2019-07-09
2019-07-10,You Were Never Really Here,2017,https://boxd.it/KWUYB,4.5,,,2019-07-09
2019-07-12,Black Mirror: Smithereens,2019,https://boxd.it/L2M35,3,,,2019-07-11
2019-07-17,Clue,1985,https://boxd.it/Ll19X,3,,,2019-07-17
2019-07-20,Ferris Bueller's Day Off,1986,https://boxd.it/LrGdj,3,,,2019-07-19
2019-07-20,Midsommar,2019,https://boxd.it/Lsn8r,4.5,,,2019-07-20
2019-07-21,The Shining,1980,https://boxd.it/LvpBB,5,,,2019-07-20
2019-07-22,Her Smell,2018,https://boxd.it/LycFr,,,,2019-07-21
2019-07-22,Strangers on a Train,1951,https://boxd.it/Lz76j,4,,,2019-07-21
2019-07-24,Can You Ever Forgive Me?,2018,https://boxd.it/LFDUR,4,,,2019-07-24
2019-07-25,Minding the Gap,2018,https://boxd.it/LKfLB,5,,,2019-07-25
2019-07-26,Animal World,2018,https://boxd.it/LNqWr,3.5,,,2019-07-26
2019-07-27,Russian Ark,2002,https://boxd.it/LOzCR,4.5,,,2019-07-26
2019-07-28,John Wick,2014,https://boxd.it/LRsKZ,3.5,,,2019-07-27
2019-07-28,Lolita,1962,https://boxd.it/LS7pt,2.5,,,2019-07-27
2019-07-29,Fight Club,1999,https://boxd.it/LVsK9,5,,,2019-07-28
2019-07-30,Crazy Rich Asians,2018,https://boxd.it/LZdFh,2.5,,,2019-07-29
2019-07-31,The Perfect Date,2019,https://boxd.it/M1ZNx,2,,,2019-07-30
2019-08-01,John Wick: Chapter 2,2017,https://boxd.it/M5YqF,3.5,,,2019-07-31
2019-08-01,The Girl with the Dragon Tattoo,2011,https://boxd.it/M7V5X,4.5,,,2019-08-01
2019-08-02,In Fabric,2018,https://boxd.it/M8Nct,3,,,2019-08-01
2019-08-13,Hard Candy,2005,https://boxd.it/ML9Cz,,,,2019-08-13
2019-08-18,Back to the Future,1985,https://boxd.it/MZl1j,4.5,,,2019-08-17
